2022-01-27  16:57:15; DEBUG; app start
2022-01-27  16:57:15; DEBUG; create './database' folder
2022-01-27  16:57:15; DEBUG; load /home/pi/Desktop/ModbusCOM/modbusRTU_MasterDefine/Baud-9600_ByteSize-8_Parity-None_Stop-1_FuncCode-3.json successfully
2022-01-27  16:57:15; DEBUG; Create new database at: /home/pi/Desktop/ModbusCOM/database/2022-01-27.db
2022-01-27  16:58:58; DEBUG; app start
2022-01-27  23:19:03; DEBUG; app start
2022-01-27  23:20:07; DEBUG; app start
2022-01-27  23:20:07; DEBUG; load modbusRTU_MasterDefine/Baud-9600_ByteSize-8_Parity-None_Stop-1_FuncCode-3.json successfully
2022-01-28  00:11:26; DEBUG; app start
2022-01-28  00:11:26; DEBUG; load modbusRTU_MasterDefine/Baud-9600_ByteSize-8_Parity-None_Stop-1_FuncCode-3.json successfully
2022-01-28  00:11:26; DEBUG; Create new database at: database/2022-01-28.db
2022-01-31  13:02:07; DEBUG; app start
2022-01-31  13:02:07; DEBUG; load /home/pi/Desktop/ModbusCOM/modbusRTU_MasterDefine/Baud-9600_ByteSize-8_Parity-None_Stop-1_FuncCode-3.json successfully
2022-01-31  13:02:07; DEBUG; Create new database at: /home/pi/Desktop/ModbusCOM/database/2022-01-31.db
2022-01-31  13:02:07; DEBUG; InputParam init
2022-01-31  13:02:12; ERROR; Error raised when execute Baud-9600_ByteSize-8_Parity-None_Stop-1_FuncCode-3.json. Error is [Errno 2] could not open port COM3: [Errno 2] No such file or directory: 'COM3'
2022-01-31  13:06:17; DEBUG; app start
2022-01-31  13:06:17; DEBUG; load /home/pi/Desktop/ModbusCOM/modbusRTU_MasterDefine/Baud-9600_ByteSize-8_Parity-None_Stop-1_FuncCode-3.json successfully
2022-01-31  13:06:17; DEBUG; InputParam init
2022-02-23  14:18:28; DEBUG; app start
2022-02-23  14:18:28; DEBUG; load modbusRTU_MasterDefine/Baud-9600_ByteSize-8_Parity-None_Stop-1_FuncCode-3.json successfully
2022-02-23  14:18:28; DEBUG; Create new database at: database/2022-02-23.db
2022-02-23  15:58:42; DEBUG; app start
2022-02-23  15:58:42; DEBUG; load /home/pi/Desktop/ModbusCOM/modbusRTU_MasterDefine/Baud-9600_ByteSize-8_Parity-None_Stop-1_FuncCode-3.json successfully
2022-02-23  15:58:43; DEBUG; InputParam init
2022-02-23  15:58:49; ERROR; Error raised when execute Baud-9600_ByteSize-8_Parity-None_Stop-1_FuncCode-3.json. Error is Response length is invalid 0
2022-02-23  15:59:00; ERROR; Error raised when execute Baud-9600_ByteSize-8_Parity-None_Stop-1_FuncCode-3.json. Error is Response length is invalid 0
2022-02-23  15:59:54; DEBUG; app start
2022-02-23  15:59:54; DEBUG; load /home/pi/Desktop/ModbusCOM/modbusRTU_MasterDefine/Baud-9600_ByteSize-8_Parity-None_Stop-1_FuncCode-3.json successfully
2022-02-23  15:59:54; DEBUG; InputParam init
2022-02-23  16:00:00; ERROR; Error raised when execute Baud-9600_ByteSize-8_Parity-None_Stop-1_FuncCode-3.json. Error is Response length is invalid 0
2022-02-23  16:00:16; DEBUG; app start
2022-02-23  16:00:16; DEBUG; load /home/pi/Desktop/ModbusCOM/modbusRTU_MasterDefine/Baud-9600_ByteSize-8_Parity-None_Stop-1_FuncCode-3.json successfully
2022-02-23  16:00:16; DEBUG; InputParam init
2022-02-23  16:00:22; ERROR; Error raised when execute Baud-9600_ByteSize-8_Parity-None_Stop-1_FuncCode-3.json. Error is Response length is invalid 0
2022-02-23  16:03:21; DEBUG; app start
2022-02-23  16:03:21; DEBUG; load /home/pi/Desktop/ModbusCOM/modbusRTU_MasterDefine/Baud-9600_ByteSize-8_Parity-None_Stop-1_FuncCode-3.json successfully
2022-02-23  16:03:21; DEBUG; InputParam init
2022-02-23  16:07:58; DEBUG; app start
2022-02-23  16:07:58; DEBUG; load /home/pi/Desktop/ModbusCOM/modbusRTU_MasterDefine/Baud-9600_ByteSize-8_Parity-None_Stop-1_FuncCode-3.json successfully
2022-02-23  16:07:58; DEBUG; InputParam init
2022-02-23  16:12:33; DEBUG; app start
2022-02-23  16:12:33; DEBUG; load /home/pi/Desktop/ModbusCOM/modbusRTU_MasterDefine/Baud-9600_ByteSize-8_Parity-None_Stop-1_FuncCode-3.json successfully
2022-02-23  16:12:33; DEBUG; InputParam init
2022-02-23  16:12:38; ERROR; Error raised when execute Baud-9600_ByteSize-8_Parity-None_Stop-1_FuncCode-3.json. Error is Incorrect number of bindings supplied. The current statement uses 1, and there are 2 supplied.
2022-02-23  16:12:48; ERROR; Error raised when execute Baud-9600_ByteSize-8_Parity-None_Stop-1_FuncCode-3.json. Error is Incorrect number of bindings supplied. The current statement uses 1, and there are 2 supplied.
2022-02-23  16:13:12; DEBUG; app start
2022-02-23  16:13:12; DEBUG; load /home/pi/Desktop/ModbusCOM/modbusRTU_MasterDefine/Baud-9600_ByteSize-8_Parity-None_Stop-1_FuncCode-3.json successfully
2022-02-23  16:13:12; DEBUG; InputParam init
2022-02-23  16:15:38; DEBUG; app start
2022-02-23  16:15:38; DEBUG; load /home/pi/Desktop/ModbusCOM/modbusRTU_MasterDefine/Baud-9600_ByteSize-8_Parity-None_Stop-1_FuncCode-3.json successfully
2022-02-23  16:15:38; DEBUG; InputParam init
2022-02-23  16:17:19; DEBUG; app start
2022-02-23  16:17:19; DEBUG; load /home/pi/Desktop/ModbusCOM/modbusRTU_MasterDefine/Baud-9600_ByteSize-8_Parity-None_Stop-1_FuncCode-3.json successfully
2022-02-23  16:17:19; DEBUG; InputParam init
2022-02-24  10:24:32; DEBUG; app start
2022-02-24  10:24:32; DEBUG; load /home/pi/Desktop/ModbusCOM/modbusRTU_MasterDefine/Baud-9600_ByteSize-8_Parity-None_Stop-1_FuncCode-3.json successfully
2022-02-24  10:24:32; DEBUG; Create new database at: /home/pi/Desktop/ModbusCOM/database/2022-02-24.db
2022-02-24  10:24:32; DEBUG; InputParam init
2022-02-24  14:46:44; DEBUG; app start
2022-02-24  14:46:44; DEBUG; load /home/pi/Desktop/ModbusCOM/modbusRTU_MasterDefine/Baud-9600_ByteSize-8_Parity-None_Stop-1_FuncCode-3.json successfully
2022-02-24  14:46:44; DEBUG; InputParam init
2022-02-25  00:00:06; DEBUG; Create new database at: /home/pi/Desktop/ModbusCOM/database/2022-02-25.db
2022-02-26  00:00:03; DEBUG; Create new database at: /home/pi/Desktop/ModbusCOM/database/2022-02-26.db
2022-02-27  00:00:08; DEBUG; Create new database at: /home/pi/Desktop/ModbusCOM/database/2022-02-27.db
